Mã sự cố,Ngày lập,Trạng thái,Nhà cung cấp,Phân loại hàng,Loại sự cố,Số HĐ (INV),Bộ phận,PIC,Sub-PIC,Nhãn dán (Tags),Ghi chú chung,Mã hàng,Tên sản phẩm,Số lô,HSD,SL,ĐVT,LPN,ASN,Mô tả lỗi chi tiết,Hành động khắc phục
BBSC.HCM-0515-0926,10/09/2026,Hoàn tất,WW,HÀNG NHẬP KHẨU,Không đạt Cảm quan,91790921,Kho Nhập,Dung,Phúc,,,WO1100009,THIOGAMMA TURBO-SET (HOP/1 LO),60616K,31/05/2028,3,THÙNG,000241856,0000038191,Móp rách thùng nặng,Chuyển bs nhãn phụ
BBSC.HCM-0517-0926,10/09/2026,Hoàn tất,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013553491/92/94,Kho Nhập,Trinh,Phúc,,,RD1100030,OMEZ 20MG (HOP/20 VIEN),B2602405,30/04/2028,7,Thùng,000242090,0000038185,"Móp, rách vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0517-0926,10/09/2026,Hoàn tất,Dr.Reddy's,HÀNG NHẬP KHẨU,Không đạt Cảm quan,9013553491/92/94,Kho Nhập,Trinh,Phúc,,,RD1100004,STAMLO 5 (H/2VI X 10VIEN),B2601788,31/05/2028,6,Thùng,000242088,0000038183,"Móp, rách vỏ thùng ngoài",Chuyển bs nhãn phụ
BBSC.HCM-0523-0926,11/09/2026,Hoàn tất,VE PHARMA,HÀNG NHẬP KHẨU,Không đạt Cảm quan,S29-AIR VEVN26/01/08/24,Kho Nhập,Trinh,Thiện,,,SC6100015,PREGNACARE PLUS OMEGA 3 (H/56 VIEN),PP2634CP,31/03/2029,15,Thùng,000241831,0000038186,"Móp, rách vỏ thùng ngoài","Chuyển bổ sung nhãn phụ, kiểm tra chi tiết bên trong"
BBSC.HCM-0531-0926,17/09/2026,Khởi tạo,SANOFI,HÀNG TRẢ VỀ,Không đạt Cảm quan,AR 7790 (08/09/26),Kho Nhập,Duyên,Thiện,,,SA1100055,"ENTEROGERMINA,4BCFU/5ML,SP,BT20,VN	",6I141,31/05/2028,5,Hộp,,,Móp,
BBSC.HCM-0529-0926,16/09/2026,Khởi tạo,MAYOLY,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SIVIC0077591/92,Kho Nhập,Trinh,Thiện,Đã mail hãng,,MY1100016,SMECTA (ORANGE 3G 10SACH VN) (NEW),E05722,12/05/2029,1,Hộp,000242855,0000038297,01 hộp móp trong thùng chẵn,
BBSC.HCM-0529-0926,16/09/2026,Khởi tạo,MAYOLY,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SIVIC0077591/92,Kho Nhập,Trinh,Thiện,Đã mail hãng,,MY1100016,SMECTA (ORANGE 3G 10SACH VN) (NEW),E07229,12/06/2029,1,Hộp,000242856,0000038297,01 hộp móp trong thùng chẵn,
BBSC.HCM-0529-0926,16/09/2026,Khởi tạo,MAYOLY,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SIVIC0077591/92,Kho Nhập,Trinh,Thiện,Đã mail hãng,,MY1100012,FORTRANS 4SACH VN (NEW),E06757,03/06/2029,5,Hộp,000242881,0000038296,05 hộp móp trong thùng chẵn,
BBSC.HCM-0529-0926,16/09/2026,Khởi tạo,MAYOLY,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SIVIC0077591/92,Kho Nhập,Trinh,Thiện,Đã mail hãng,,MY1100012,FORTRANS 4SACH VN (NEW),E06779,04/06/2029,1,Hộp,000242902,0000038296,01 hộp rách trong thùng chẵn,
BBSC.HCM-0528-0926,16/09/2026,Khởi tạo,HETERO,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI3626204460/62,Kho Nhập,Trinh,Thiện,,,HT1100053,TELDY (HOP/1 LO HDPE 30 VIEN),E262804,19/06/2028,16,Hộp,000242922,0000038298,"16 hộp ướt, tách vỏ hộp + HDSD",
BBSC.HCM-0528-0926,16/09/2026,Khởi tạo,HETERO,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI3626204460/62,Kho Nhập,Trinh,Thiện,,,HT1100053,TELDY (HOP/1 LO HDPE 30 VIEN),E262845,24/06/2028,70,Hộp,000242924,0000038299,"70 hộp ướt, tách vỏ hộp + HDSD",
BBSC.HCM-0532-0926,17/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRONG NƯỚC,Không đạt Cảm quan,226,Kho Nhập,Dung,Phúc,Not scan,,MG1100048,PERGLIM M-2 (HOP/5 VI X 20 VIEN),A08922545,07/11/2027,5,Hộp,"000242970,000242971",0000038312,"02 hộp móp nhẹ
03 hộp móp nặng",Hủy
BBSC.HCM-0532-0926,17/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRONG NƯỚC,Không đạt Cảm quan,226,Kho Nhập,Dung,Phúc,Not scan,,MG1100048,PERGLIM M-2 (HOP/5 VI X 20 VIEN),A08922546,07/11/2027,11,Hộp,"000242972,000242973",0000038312,"04 hộp móp nhẹ
07 hộp móp nặng",Hủy
BBSC.HCM-0532-0926,17/09/2026,Hoàn tất,MEGA (MAXXCARE),HÀNG TRONG NƯỚC,Không đạt Cảm quan,226,Kho Nhập,Dung,Phúc,Not scan,,MG1100047,PERGLIM M-1 (HOP/5 VI X 20 VIEN),A08912521,07/11/2027,6,Hộp,000242969,0000038312,06 hộp móp nặng,Hủy
BBSC.HCM-0533-0926,17/09/2026,KHỞI TẠO,HETERO,HÀNG NHẬP KHẨU,Không đạt Cảm quan,SI3626204460/62,Team ĐGC2,Như,Lữ,Urgent,,HT1100053,TELDY (HOP/1 LO HDPE 30 VIEN)  ,E262804,19/06/2028,3,Hộp," LPN012279, LPN012283",0000038298,"02 hộp rách nặng, 01 hộp móp nặng - LPN012279
07 hộp móp rách nặng - LPN012283",
BBSC.HCM-0534-0926,18/09/2026,Chờ hết INV,HETERO,HÀNG NHẬP KHẨU,Sai số lượng,SI3626204460/62,Team ĐGC2,Như,,Urgent,,HT1100053,TELDY (HOP/1 LO HDPE 30 VIEN)  ,E262804,19/06/2028,2,Hộp,LPN012282,0000038298,02 hộp thiếu,
